"","E250098172_L01_ZHW-C1","E250098172_L01_ZHW-C2","E250098172_L01_ZHW-C3","E250098172_L01_ZHW-K1","E250098172_L01_ZHW-K2","E250098172_L01_ZHW-K3"
"TBCD",1469.64,1120.58,1212.48,740.69,613.35,776.3
"TBCE",500.88,409.12,582.15,160.8,163.01,150.83
"TBCEL",91,83,94,97,99.96,132.44
"TBCK",103.39,94.62,98.5,102.4,91.24,127.21
"TBK1",810.85,730.6,740.52,571.05,552.31,665.93
"TBKBP1",100,68,65,97,82,123
"TBL1X",1784,1386,1569,1065,983,1331
"TBL1XR1",1567,1393,1542,1013,1024,1346
"TBL2",1053,870,935,621,618,701
"TBL3",1273.3,868.09,1018.44,607.02,544.23,675.86
"TBP",328,264.01,294,170,199,226
"TBPL1",269.48,210.65,230.93,139.56,152.63,183.04
"TBRG1",485.9,310.55,330.15,276.94,260.24,311.51
"TBRG4",2737,1881,1969,1546,1407,1743
"TBX1",887.88,726,770,656,540,756.59
"TBX19",27,17,22,9,13,21
"TBX2",126,75,111,70,63,81
"TBX20",24.75,12.19,14.16,4.47,10.08,19
"TBX3",523,379,569,290,279,402
"TBX6",16,2,11,5,5,6
"TBXA2R",483,385,479,330,270,373
"TBXAS1",0,4,4,2,0,1
"TC2N",286,339,379,62,64,101
"TCAF1",1455.44,1163.28,1218.22,1069.56,935.4,1303.14
"TCAF2",442.08,318.86,277.77,170.52,126.43,230.56
"TCAIM",658.65,538.35,649.96,413.27,439.18,540.83
"TCAP",5,5,4,0,3,1
"TCEA1",1805.27,1575.39,1840.81,885.17,988.58,1082.02
"TCEA2",626,423,465,425,328,419
"TCEA3",743.57,633.13,794.54,462.03,402.88,507.96
"TCEAL1",540,453,526,618,602,701.5
"TCEAL3",3,2,2,2,0,3
"TCEAL4",1519.77,1407.02,1679,1054.5,1096.49,1190.4
"TCEAL8",467,472,531,369,378,379
"TCEAL9",1432.79,1457,1672.64,1144,1302,1361.7
"TCEANC",35,18,24,15,13,23
"TCEANC2",266,204,251,177,175,216
"TCERG1",1351,1150,1355,947,973,1246
"TCF12",1260.64,1076.12,1310.14,1030.53,996.45,1382.7
"TCF19",4638,3602,4088,2713,2520.49,3066
"TCF20",1067,779,885,693,593,853
"TCF24",5,4,3,3,2,3
"TCF25",1489.93,1118.92,1251.95,994,990.9,1167.95
"TCF3",3096,2131,2482,1996,1813,2433
"TCF4",66,46,76,42,37,57
"TCF7",31,46,51,8,2,12
"TCF7L1",6,7,5,9,15,13
"TCF7L2",381.04,322.54,406.75,287.35,263,315
"TCFL5",1074.98,824.96,933.16,698.92,654.05,820.08
"TCHP",581,453,468,346,309,389
"TCIM",185,245,389,180,136,177
"TCIRG1",3993,2692,3087,2511,2169,2802
"TCN1",16,21,22,5,3,11
"TCOF1",4215,2887,3188,2400,2284,2869
"TCP1",3811.84,2988.73,3346.22,2465.64,2668.68,3077.23
"TCP10L",10.83,10.07,5.27,3.81,8.67,3.9
"TCP11L1",889,998,1063,658,620,828
"TCP11L2",165,128,137,76,64,88
"TCTA",603,415,406,214,177,215
"TCTE1",6,4,5.58,2,2,1
"TCTN1",240,189,231,217,208,222
"TCTN2",352.85,264.71,326.38,175,168,226
"TCTN3",569,423,503,466,453,500
"TDG",747.89,593.7,720.69,531.69,608.78,665.8
"TDP1",571,393,499,365,322,387
"TDP2",883,716,925,453,461,521.88
"TDRD3",241,218,280,265,274,347
"TDRD7",281,203,260,156,189,218
"TDRD9",1,2,2,3,1,3
"TDRKH",205.02,224.44,209.82,325.17,321.1,387.58
"TEAD1",4869,4129,5280,3934,3770,5233
"TEAD2",1247,965,1062,689,741,893
"TEAD3",1009,862,958,778,674,817
"TEAD4",743,523,595,656,567,843
"TEC",56,48,55,38,14,47
"TECPR1",462.32,304.79,300.03,264.6,247.09,296
"TECPR2",541.22,371.08,335.3,286.64,230.69,338.44
"TECR",2460.32,1812.99,2163.42,1359.5,1286.37,1585.65
"TEDC1",823.09,460,541.73,426.49,407.99,437.61
"TEDC2",736,516,579,380.99,397,450
"TEF",191,107,129,76,75,101
"TEFM",224,167.68,148.13,112,117.2,131.98
"TEK",17,19,30,9,9,9
"TEKTIP1",214,117,125,122,92,99
"TELO2",2029,1249,1380,1306,1106,1378
"TEN1",267.55,167.66,192.45,187.34,173.53,198.05
"TENM2",10,16,12.2,11,7,17
"TENM3",4,6,5,0,1,0
"TENT2",429,390,412,252,311,365
"TENT4A",2200,1674,1801,1009,885,1222
"TENT4B",281,230,283,222,209,288
"TENT5A",865,804,776,370,381,493
"TENT5B",460,357,422,317,318,305
"TENT5C",158,117,133,36,28,39
"TEP1",523,411,409,385,348,468
"TEPSIN",455.84,315.08,295.1,302.85,287.18,361.54
"TERF1",432,363.99,385,290.97,283,380.93
"TERF2",747,593.76,656,403.82,362.72,480
"TERF2IP",1164.17,873.22,911.32,702.72,702.19,804.28
"TERT",38,21,19,42,32,19
"TES",2122.73,1770.81,2051.42,1371.3,1299.69,1622.37
"TESC",449,344,381,316,271,333
"TESK1",510,345,417,232,208,239
"TESK2",187.87,213,237,186.26,136.75,210.82
"TESMIN",94,53,67,41,23,46
"TET1",4,4,5,2,0,3
"TET2",411.71,365.33,386.13,288,275,379
"TET3",1039.84,878.57,910.64,676.38,575.24,864.84
"TEX10",582.07,529.43,506.75,368.74,432.35,466.23
"TEX14",3.12,1,7,5,6,2.35
"TEX19",105,99,76,34,33.97,54
"TEX2",818,717,879,689,690,861
"TEX22",44,33,18,17,15,13
"TEX261",1613.73,1148,1302,1137.86,1125.85,1367
"TEX264",929,599,702,412,380,490
"TEX29",10,8,10,5,1,4
"TEX30",682,625,601.84,426.96,437.78,524.75
"TEX36",4,3,5,1,4,2
"TEX46",2,1,3,3,1,1
"TEX52",7,2,0,1,1,0
"TEX54",2,3,2,2,2,1
"TEX9",41,53,36,27.42,26.91,35.01
"TFAM",1480,1276,1447,1007,1016,1162
"TFAP2A",1423.97,1184.67,1409.36,914.57,853.86,1104.16
"TFAP2C",388,307,392,163,171,207
"TFAP2E",3,3,6,1,1,3
"TFAP4",594,398,452,330,319,425
"TFB1M",160.42,127.19,127.22,106.79,84.79,109.4
"TFB2M",463,400,424,214,212,306
"TFCP2",659,590,720,527,538,672
"TFDP1",4666,3585,3971,2770,2659,3135
"TFDP2",1246,1020,1104,939,904,1142
"TFE3",2874,2093,2274,1283,1167,1497
"TFEB",402,297,319,187,188,220
"TFG",3770,3158,3550,2186,2160,2669
"TFIP11",822.83,620.54,648.95,437.4,458.95,527.87
"TFPI",5,5,2,0,0,1
"TFPI2",53,37,39,77,95,97
"TFPT",116.47,81.6,77.46,57,56.64,75.23
"TFR2",755,528.99,610,472,378,505
"TFRC",7420.99,5566,6990.96,4444,4685,5460.96
"TGDS",220,157,155,117,117,148
"TGFB1",5342,3643,4265,1715,1624,2221
"TGFB1I1",212,192,245,291,278,326
"TGFB2",200,164.06,239.36,175.86,149.25,219.14
"TGFB3",287,180,247,168,141,193
"TGFBI",374,247,295,499,547,687
"TGFBR1",2421,1744,2178.02,727,797,998
"TGFBR2",754,595,686,686,660,829
"TGFBR3",1367,1123,1365,524,526,677
"TGFBR3L",219.48,167.11,197.39,118.38,92.72,113.32
"TGFBRAP1",1005,733,868,634,603,855
"TGIF1",589,440,509,269,263,298
"TGIF2",748.55,584.84,681,524,486.94,598.44
"TGIF2-RAB5IF",29.01,12.02,0,0,12.71,12.19
"TGM1",59,90,71,75,93,103
"TGM2",1944,886,993,380,474,567.91
"TGOLN2",4842.8,3653.78,4360,2757.95,2638.66,3500.96
"TGS1",621,500,515,265,268,337
"THADA",390.9,282.58,287.57,218.68,217.32,281.12
"THAP1",172.89,154.49,193.66,80.81,100.36,121.78
"THAP10",89,54,56,35,44,45
"THAP11",673,493,511,377,371,452
"THAP12",990.86,819.59,926.9,743,746.79,861.86
"THAP2",61.46,52.41,52.54,47,44.17,48.32
"THAP3",175.18,117.08,92.28,88,72.49,82.16
"THAP4",761,545,621,499,517,647
"THAP5",554,464,447,352,337,418
"THAP6",216,162,152,114,124,137
"THAP7",994.45,709.19,738.95,589.16,514.84,702.7
"THAP8",76,45,63,31,54,58
"THAP9",76.18,46.13,58.65,44,46,59.64
"THBD",163,133,167,43,39,55
"THBS1",886.66,673.94,1016.53,388.33,395.84,489.38
"THBS3",442.79,335.93,371.16,700.81,693.09,795.42
"THEM4",540,449.99,483.96,219,223,302
"THEM5",10.13,14,14,1,1,3
"THEM6",1675,1025,1100,1101,988,1221
"THG1L",359.99,261,329,292,306,339.83
"THNSL1",338,257,269,145,161,211
"THOC1",323,320,275,233,227,290
"THOC2",1498.15,1360.26,1471,1056,1075.28,1344.92
"THOC3",1375.02,921.89,992.72,764.99,778.95,950.54
"THOC5",960,723,799,560,556,669
"THOC6",644.7,474.14,568,470.91,435.98,537.62
"THOC7",470,494,546,371,406,462
"THOP1",3056,1846,2091,1539,1345,1711
"THPO",11.41,17,20,5,3,5.46
"THRA",1866.94,1535.43,1738.94,1000.19,888.43,1199.23
"THRAP3",3637,2941,3188,2387,2346,2898
"THRB",51,46,41,16,10,21
"THRSP",1,6,1,0,0,2
"THSD1",10.11,6.13,8,6.19,4.07,8.04
"THSD4",650,255,394,335,381,465
"THSD7B",1,2,2,5,2,4
"THTPA",293.73,238.23,248.65,161.57,149.76,171.52
"THUMPD1",446,366,402,266,300,319
"THUMPD2",188,170,212,130,151,181
"THUMPD3",1101.87,887,893.87,571.91,617,698
"THY1",23,16,24,20,26,33
"THYN1",630,550,552,458,405,504
"TIA1",967,853,948,724,669,847
"TIAL1",1173.76,967.34,1085.26,696.12,745.65,1001.72
"TIAM2",15.65,13.04,13.95,6.06,11.33,12.77
"TICAM1",1021,793,1014,529,499,644
"TICAM2",54.91,20.35,39.36,15,26.75,41.42
"TICRR",1551,1388,1361,967,954,1271
"TIFA",411,314,392,233,241,281
"TIGAR",209,154,163,147,145,159
"TIGD1",102,113,96,77,71,108
"TIGD2",268,234,295,174,179,181
"TIGD3",56,21,30,28,23,35
"TIGD4",10,6,4,6,3,4
"TIGD5",997,701,659,477,435,489
"TIGD6",99.09,84.04,78.2,39.55,39.98,46.58
"TIGD7",30.87,12.71,31.1,19.06,12.98,12.72
"TIMELESS",3211,2593,2790,2091,1969,2485
"TIMM10",760,507,555,358,310,371
"TIMM10B",577.82,519.64,487.02,505.64,552.16,614.72
"TIMM13",869.77,478.83,550.72,539.69,483.91,536.84
"TIMM17A",1858,1548,1647,823,833,927
"TIMM17B",1798,1217,1305,618,594,656
"TIMM21",556,428,538,366,358,416
"TIMM22",465,372,392.24,274,252,327
"TIMM23",1866.08,1426.4,1578.31,998.89,1070.25,1225.67
"TIMM23B",111.53,104.02,136.41,129.72,147.26,176.03
"TIMM23B-AGAP6",78.48,49.13,32.76,58.07,22.34,14.99
"TIMM29",278,192,188,167,154,157
"TIMM44",846,609,604,461,444,521.99
"TIMM50",1783,1212,1216,896,922,1073
"TIMM8A",325,220,213,190,172,227
"TIMM8B",324.88,274.08,295.3,199.26,173.97,222.01
"TIMM9",245.64,216.93,274.11,193,199,213
"TIMMDC1",1664,1249,1406,1033,1021,1161
"TIMP1",7212,5012,5859,2117,2143,2506
"TIMP2",4590.2,3854.82,4499.61,3377.31,3272.96,4183.54
"TIMP3",532,386,436,303,326,388
"TIMP4",229,121,133,50,61,54
"TINAGL1",1202,800,923,524,525,674.99
"TINCR",1329,979,896,632,582,712
"TINF2",614.45,447.69,509.57,374.84,390.57,445.31
"TIPARP",1585,1189,1346,694,707,954
"TIPIN",338,284,326,191,226,239
"TIPRL",880,694,759,440,426,504
"TIRAP",532.41,414.58,366.64,216.52,246.99,300.89
"TJAP1",996,742,775,602,572,680
"TJP1",956,866,983,759,748,992
"TJP2",1538.69,1117.57,1338.02,721.05,656.07,925.28
"TJP3",66,80,109,20,12,22
"TK1",5267.7,3857.15,4348.56,3368.12,2922.71,3610.07
"TK2",422,256.14,251.79,225.52,201,263.66
"TKFC",1536.63,1118.15,1323.83,1049.16,988.42,1181.59
"TKT",18354,14883,16973,11810,11062,13733
"TLCD1",307,248,307,190,161,187
"TLCD2",282,314,291,142,114,146
"TLCD3A",1061,840,934,624,584,694
"TLCD3B",9,8,5,1,6,6
"TLCD4",320.58,354.74,433.22,315.85,272.87,348.33
"TLCD4-RWDD3",18.09,14.54,4.7,14.64,3.51,5.57
"TLCD5",243,246,183,166,121,160
"TLDC2",2.37,1.08,0,2.71,0,4.41
"TLE1",723,572.51,616.94,515,485.28,647.85
"TLE2",110,114,139,79,60,89
"TLE3",1806,1238,1577,1123,952,1301
"TLE4",469,390.49,490,235,228,296.15
"TLE5",5032.31,3622.8,4205.16,3025.07,2710.18,3280.06
"TLE6",15,18,12,6,5,5
"TLK1",605,513,603,432,427,595
"TLK2",709.91,587.05,674.51,439.65,479.2,581.83
"TLL1",342,303,457,232,211,315
"TLN1",4762,3505,3827,2474,2346,3136
"TLN2",133,131,129,158,183,221
"TLNRD1",763,479,478,338,305.08,442.22
"TLR1",7.28,3.03,4.11,5,1.05,0
"TLR3",46,47,62,38,44,35
"TLR4",45.85,31,55.94,20,28,33.77
"TLR5",5,7,0,1,1,1
"TLR6",486.72,365.97,368.89,67,45.95,70
"TLX3",265.24,180.4,182.91,148.86,167.8,198.81
"TM2D1",224,223,217,159,152,190
"TM2D2",414,321,347,172,161,191
"TM2D3",607,466,545,477,412,524
"TM4SF1",10974,8928,12014,6597,6721,7205
"TM4SF19",81.05,33.72,33.74,19.51,18,17.29
"TM6SF1",6.39,1,8.45,2.06,0,4.38
"TM7SF2",131,109,145,109,92,104
"TM7SF3",1593.7,1221.98,1483,925.9,962.63,1089.52
"TM9SF1",952.83,663.05,721.8,567.83,480.19,417.37
"TM9SF2",2001.47,1691.43,1979.38,1380.29,1391.57,1587.33
"TM9SF3",2681,2189,2729,1744,1794,2193
"TM9SF4",1714,1239,1452,1079,1024,1254
"TMA16",311,296,356,224,223,272
"TMA7",1379.91,1089.79,1275.81,828.66,846.88,904.57
"TMBIM1",892,562,635,496,443,528
"TMBIM4",328,263.45,324,204,215,237.04
"TMBIM6",11867,9347,10685,6201,6184,7562
"TMC2",6,4,2,1,0,2
"TMC4",3,6,4,5,2,4
"TMC5",305.1,259,325,44,49,82
"TMC6",609.78,426.96,481.94,361.51,288.97,397
"TMC7",130,85.1,91.41,70,73,94.57
"TMC8",30,22,22.98,11,7,8
"TMCC1",299,264,278,210,202,288
"TMCC2",270,242,279,124,111,134
"TMCC3",6,2,6,6,5,7
"TMCO1",1626.05,1372.26,1654.17,625.96,677.45,833.03
"TMCO3",1169,956,1049.3,639,581,727
"TMCO4",484,316,357,324,321,364
"TMCO6",260.43,161.41,162,175.85,172.61,167.79
"TMED1",541.09,299.8,379.82,303.55,226.14,282.64
"TMED10",3454.87,3160.39,3507.86,2283.73,2319.36,2728.8
"TMED2",3989.04,3370,4032.18,2343.66,2445.03,2956.74
"TMED3",2978,2091,2384,1719,1683,1888
"TMED4",2810.97,2128.62,2397.7,1795.01,1729.78,2111.17
"TMED5",924.67,766.5,889.86,576,599.93,716.31
"TMED6",3.67,1.33,4,2,1,0
"TMED7",1467.62,1257.91,1429.3,876.81,1010.52,1073.82
"TMED7-TICAM2",236.77,148.03,176.45,118.54,105.85,101.33
"TMED8",1097,864,964,695,695,921
"TMED9",4325,2736,3083,2335,2250,2585
"TMEFF1",7.22,2.81,2.65,9.46,19.4,10.75
"TMEM101",518.99,362,392,370,349,432
"TMEM102",374.12,245.61,277.51,242.91,183.86,242.31
"TMEM104",503,374,379,285,295,353
"TMEM106A",79,70,80,74,49,67
"TMEM106B",721,663,775,399,382,503
"TMEM106C",6201,5028,5662,3826,3632,4279
"TMEM107",589.34,503,467,463,397,464
"TMEM109",4238,3046,3438,2520,2602,2991.97
"TMEM11",651,463.8,544,391,365.77,419.8
"TMEM115",929,639,753,512,477,631
"TMEM116",160.07,164.51,173.8,106.89,112.99,132.52
"TMEM117",128,132,144,104,90,113
"TMEM120A",903,660,701,502,489,548
"TMEM120B",619.76,415.55,406.15,294.71,308.78,382.92
"TMEM121",27,25,29,15,19,16
"TMEM123",2794,2487,2835,1671,1679,2082
"TMEM126A",248,247,259,169,216,206
"TMEM126B",666,515,577,477,516,580
"TMEM127",1799,1424,1637,968,856,1155
"TMEM128",124,79,92,86,85,94
"TMEM129",774.28,449.17,492.15,694.45,626.03,766.08
"TMEM131",942,677,841,551,481,652
"TMEM131L",279,277,291,199,192,241
"TMEM132A",2624,1608,1942,1759,1652,2048
"TMEM134",153,101,132,79,94,97
"TMEM135",499,379,454,267,306,314
"TMEM138",828.79,568.52,641.32,416.52,359.39,451.64
"TMEM139",445.83,462.73,439.84,466.29,478,517.9
"TMEM140",121.29,34.75,36.39,40.62,24.29,56.23
"TMEM141",1035.12,726.84,809.58,482.45,473.39,544.48
"TMEM143",189,153,167,94,101,124
"TMEM144",70,59,70,52,63,56
"TMEM147",1445,973,1126,798,797,957
"TMEM14A",433,423,435,226,220,258
"TMEM14B",1600.07,1279,1422.81,965,977.89,1027
"TMEM14C",2622,1970,2395,1732,1682,1913
"TMEM150A",128,92,86,57,53,66
"TMEM151A",4,11,9,4,3,5
"TMEM151B",7.66,1.76,4.89,7.73,0,5.53
"TMEM156",24,8,17,2,2,8
"TMEM158",122,52,68,75,63,81
"TMEM160",335.1,212.37,222.66,217.39,165.82,205.57
"TMEM161A",887,535,657,500,490,580
"TMEM161B",361,336,349.99,222.98,220,281
"TMEM164",1495,1207,1249,843,773,978
"TMEM165",1438,1127,1379,790,787,1036
"TMEM167A",1392.97,1202.96,1388.52,939.65,949.98,1046.55
"TMEM167B",298.09,235.15,262.08,168.22,204.34,240.08
"TMEM168",262.02,235.45,292.11,194.7,176.88,207.9
"TMEM17",22,21,27,25,27,24
"TMEM170A",324.27,246.69,249.2,157.02,160.98,158.95
"TMEM170B",230,187,191,242,226,280
"TMEM175",337.72,195,249,250,221,292.3
"TMEM177",326,215,224,165,199,185
"TMEM178B",170,152,198,123,93,139
"TMEM179",9,5,10,4,5,5
"TMEM179B",263.81,220.72,240.78,188.09,179.57,233.7
"TMEM18",636.89,450.9,506.84,398.87,376,441.94
"TMEM181",525.94,349.53,424.36,318.19,320.99,455
"TMEM182",72,56,58,52,50,59
"TMEM183A",1929.83,1553.83,1767.78,916.01,925.37,1167.2
"TMEM184A",1089.54,700.83,747.96,535.37,465.44,623.24
"TMEM184B",1839,1336,1645,1156,999,1321
"TMEM184C",412.64,313.81,332.29,254.12,241.14,294.65
"TMEM185A",517,349,350,293,248,332
"TMEM185B",1765,1220,1349,871,833,1026
"TMEM186",247,161,132,122,119,135
"TMEM187",167,139,157,129,103,126
"TMEM19",506.69,395.35,483.85,324.81,337.56,423.05
"TMEM191C",5.99,6.38,4.99,1.99,0,0
"TMEM192",276,204,281,126,140,162
"TMEM198",123.67,65.05,75.12,123.74,70.51,133.61
"TMEM200B",439.75,311.56,298.2,115.64,108.29,160.06
"TMEM201",950,659,707,684,612,803
"TMEM203",1031,714,830,487,420,533
"TMEM204",4,7,1,1,2,3
"TMEM205",736.25,517.28,543,515.81,496,573.99
"TMEM208",429,271,296,172,188,222
"TMEM209",1232,1015,1310,821.93,806.99,1023
"TMEM210",5,0,3,3,0,1
"TMEM214",2688,2182,2495,1720,1665,2027
"TMEM216",313,234,279,164,179,201
"TMEM217",15.49,10.92,14.27,20.23,12.93,11.94
"TMEM218",261,236,222,194,206,186
"TMEM219",903,679,739,431,377,473
"TMEM222",624,406,446,400,394,446
"TMEM223",361.19,241.28,274.22,218.91,183.43,268.3
"TMEM230",810,728,790,464,457,586
"TMEM231",180.56,141.43,133.17,118.55,162.74,170.58
"TMEM234",119.93,61.52,69.65,98.79,85.78,92.71
"TMEM236",6,3,1,0,0,0
"TMEM237",245.66,211,267,209,233,273
"TMEM238",109.96,60.09,68.89,54.03,34.92,44.28
"TMEM239",5,2,1,1,1,1
"TMEM240",4,1,1,5,2,2
"TMEM241",124,123,121,121,75,126
"TMEM242",185,138,166,135,138,142
"TMEM243",660,435,542,493,459,567
"TMEM245",2584,2077,2528,1325,1240,1652
"TMEM248",2248,1790,1995,1541,1498,1880
"TMEM249",5.12,2.55,1.76,7,0,0.21
"TMEM25",15,12,14,5,3,2
"TMEM250",3992,2571,2674,1473,1318.28,1686
"TMEM253",17.88,18.27,11.83,8.78,13.43,20.19
"TMEM254",209.58,213.07,201.36,110.42,128.31,130.77
"TMEM255B",26.3,14,20,7,7,7
"TMEM256",421,324,331,207.63,200.65,191
"TMEM256-PLSCR3",0,0,0,6.03,5.44,0
"TMEM258",1837.47,1289.96,1472.18,929.38,904.01,963.73
"TMEM259",2821.04,1544.83,1819.64,1578.3,1418.23,1810.32
"TMEM260",168,141,153,99,95,129
"TMEM263",1423,1339,1571,1107,1146,1318
"TMEM265",32.27,2.43,0,8.53,3.77,0
"TMEM266",17,19,31,5,8,21
"TMEM267",477,396,453.61,143,124,170.67
"TMEM268",495,338,406,241,254,333
"TMEM269",9,15.81,6,2,2,1
"TMEM276",212.07,145.89,153.22,100.93,86.97,113.83
"TMEM276-ZFTRAF1",104.09,50.82,55.24,0.49,31.36,28.4
"TMEM30A",1239,955,1177,790,775,951
"TMEM33",790,580,714,487,466,600
"TMEM35B",174.04,110.87,126.19,99.3,105.97,130.84
"TMEM37",307,208,246,68,87,89
"TMEM38A",340,243,235,149,171,180
"TMEM38B",908,680,827,499,513,607
"TMEM39A",1151,952,1050,652,656,778
"TMEM39B",474,336,367,251,241,304
"TMEM40",5,2,7,1,3,4
"TMEM41A",382,308,334,243,221,284
"TMEM41B",751,590,589,430,383,536
"TMEM42",177,105.45,105.4,83.14,89,107
"TMEM43",1440,1110,1226,903,893,1120
"TMEM44",515,349,370,263,246.84,294
"TMEM45A",1161,1006,1069,594,511,763
"TMEM45B",15,13,9,11,13.26,11
"TMEM47",1394,1174,1415,341,321,427
"TMEM50A",1164,946,1062,728,763,889
"TMEM50B",162,152,169,89,94,97
"TMEM51",340.93,241.22,263,129.57,104.68,188
"TMEM52",22,22,16,17,22,13
"TMEM52B",99,111,138,88,102,110
"TMEM53",99.54,62.56,88.27,74.4,64.47,75.61
"TMEM54",225,190,185,348,287,343
"TMEM59",2609,1986,2483,1585,1514,1867
"TMEM59L",102,65,100,8,13,19
"TMEM60",373,323,304,223,250,258
"TMEM61",5.22,4.24,6.03,5.29,7.36,2.1
"TMEM62",426,381,455.42,181,172,245
"TMEM63A",1252,818,841,517,461,603
"TMEM63B",938.43,737.05,831.32,485.37,433.5,578.94
"TMEM64",396,336,373,216,195,248
"TMEM65",733,569,720,435,442,606
"TMEM67",185,107,158,78,77,140
"TMEM68",177,172,157,80,84,99
"TMEM69",1085.45,889.95,1010.84,528,542.73,667
"TMEM70",643,457,511,285,292,317
"TMEM74",2,2,3,4,3,2
"TMEM79",335,197,228,143,143,156
"TMEM80",192,116.53,103,86,64,82
"TMEM81",38,32,15,18,12,13
"TMEM86B",10.83,16.34,9.11,3,7.35,6
"TMEM87A",926.81,692.5,841.93,482.34,423.86,526.9
"TMEM87B",582,435,516,300,299,368
"TMEM8B",91.97,84.7,88.23,62.68,34.21,53.35
"TMEM9",1568,991,1167,643,628,702
"TMEM91",47.15,25.58,17,28,21.19,18
"TMEM92",7,7,4,7,10,7
"TMEM94",940.6,749.4,840.83,829.08,704.08,985.82
"TMEM97",2654.73,2446.79,2978.2,2391.35,2379.95,2887.11
"TMEM9B",536.71,413.39,487.42,359.23,364.36,422.28
"TMF1",709.82,655.23,793.61,439.23,490.32,615
"TMLHE",282.55,234.84,265,205,215.9,284
"TMOD1",729.01,636.05,705.33,336.77,342.93,416.96
"TMOD2",5,6,6,23,16,10
"TMOD3",1847.97,1573,1975,1375,1405.97,1828.98
"TMOD4",5,3,5,1,1,3
"TMPO",6304.43,5216.19,6595.99,3298.91,3390.07,4092.47
"TMPPE",25.01,32.02,29.07,23.13,18.03,22.03
"TMPRSS3",706,697,885,337,294,322
"TMPRSS4",20,22,34,1,10,7
"TMPRSS5",8,9,8,18,10,13
"TMPRSS7",2,4,1,0,2,3
"TMPRSS9",54.23,62.17,54.28,27.31,12.09,29.16
"TMSB10",17864,12918,14542,10000,10151,12143
"TMSB4X",10502.56,7296.73,8405.3,4650.58,4678.7,5276.62
"TMT1A",222,217,306,116,110,128
"TMT1B",28,18,23,5,2,9
"TMTC1",1757,1298,1395,666,745,921
"TMTC2",316,233,270,150,142,199
"TMTC3",859,779,838,488,480,649
"TMTC4",336,294,267,263,243,298
"TMUB1",2006,1332,1567,1171,1009,1297
"TMUB2",875.54,662.13,806,546.93,533.61,636.97
"TMX1",1110,843,981,741,766,881
"TMX2",1575.12,1165.64,1379.04,990.21,1022.76,1268.32
"TMX3",855,692,843,657,710,877
"TMX4",592.67,478,514,390.72,372.86,508.76
"TNC",135,75,87,20,17,24
"TNFAIP1",2028.95,1662.95,1731.59,1306.29,1248.5,1512.86
"TNFAIP2",5240,3984,4323,2741,2620,3470
"TNFAIP3",197.7,186.83,374.24,177.5,191.54,257.34
"TNFAIP6",23,6,6,1,0,0
"TNFAIP8",496,396,499,264,250,337
"TNFAIP8L1",63,35,61,50.6,54,65
"TNFRSF10A",476.66,346.59,388.18,171,143.91,217.07
"TNFRSF10B",2286,1736.54,1896.11,996,904,1177.15
"TNFRSF10C",48.53,50.47,51.35,16.99,14,23.35
"TNFRSF10D",556,372,472,197,149,242
"TNFRSF11A",85,50,62,56,52,67
"TNFRSF12A",2751,1350,1547,1087,1071,1306
"TNFRSF13C",92,63,62,38,37,42
"TNFRSF14",44.06,28.77,31.55,76.76,58.69,90.21
"TNFRSF19",23,23,24,1,2,4
"TNFRSF1A",2264.93,1626.91,2050.92,1318.9,1338,1734.92
"TNFRSF1B",5,3,3,25,21,40
"TNFRSF21",198,95,98,59,57,84
"TNFRSF25",20.05,10,8,12,7.04,10
"TNFRSF6B",80.59,39.93,36.89,31.63,32.92,26.22
"TNFRSF8",4,1,3,1,0,3
"TNFSF12",0,1,0,4,12,4
"TNFSF13",324.23,252,275,176,159,193
"TNFSF15",8,3,3,4,0,3
"TNFSF4",29.77,17.88,8.31,3,12.45,9.27
"TNFSF9",744,463,567,241,212,290
"TNIP1",2452.45,1928.33,2139,1445.6,1348,1756.13
"TNIP2",984,609,607,393,382,514
"TNK1",471,351,373,259,249,263
"TNK2",978.56,609.75,696.39,384.53,362.7,470.49
"TNKS",2122,1689,1882,866,845,1157
"TNKS1BP1",4540,3245,3877,2288,2065,2564
"TNKS2",1398,1119,1268,959,909,1282
"TNNC1",238,283,351,591,545,570
"TNNC2",8,4,2,1,2,2
"TNNT1",530,327,386,81,52,87
"TNPO1",6872,5524,6382,4099.99,4417.82,5527.99
"TNPO2",1016,748,715,757,580,866
"TNPO3",2600,2073,2267,1702,1712,2273
"TNRC18",7261.25,4339.91,5225.2,3162,2667,3809.16
"TNRC6A",856,724,447,374,345,480
"TNRC6B",754,633,656,361,398,574
"TNRC6C",131.19,100,80,50,49,57
"TNS1",2621,2259,2780,1525,1376,1922
"TNS2",2393.9,1865,2220.86,1008.84,882.92,1236.9
"TNS3",2606,2068,2465,1705,1550,2298
"TNS4",148,100,102,56,58,69
"TNXB",599.9,311,370.51,226.89,210.32,334.65
"TOB1",1386,1345,1587,810,795,990
"TOB2",1396,1141,991,748,622,884
"TOE1",779.48,621,615.93,458.88,449.9,535.57
"TOGARAM1",139,112,138,110,111,129
"TOGARAM2",421,428,493,471,440,523
"TOLLIP",843.13,532,530,335.45,322.86,421.69
"TOM1",755,515,549,354,328,374
"TOM1L1",991.66,824.57,999.15,622.46,663.11,782.22
"TOM1L2",713.97,547,620,427,343,452
"TOMM20",3756.98,3267,3959.97,2278.96,2232,2827.98
